folioURN,Siglum,Sequence,RV,MS,CodexURN,defaultImage
urn:cite:botcar:CatesbyHS232.108,CatesbyHS232,110,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_108_0549-corr
urn:cite:botcar:CatesbyHS232.109,CatesbyHS232,111,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_109_0550-corr
urn:cite:botcar:CatesbyHS232.110,CatesbyHS232,112,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_110_0551-corr
urn:cite:botcar:CatesbyHS232.111,CatesbyHS232,113,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_111_0542-corr
urn:cite:botcar:CatesbyHS232.112,CatesbyHS232,114,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_112_0543-corr
urn:cite:botcar:CatesbyHS232.113,CatesbyHS232,115,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_113_0544-corr
urn:cite:botcar:CatesbyHS232.114,CatesbyHS232,116,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_114_0545-corr
urn:cite:botcar:CatesbyHS232.115,CatesbyHS232,117,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_115_0541-corr
urn:cite:botcar:CatesbyHS232.116,CatesbyHS232,118,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_116_0539-corr
urn:cite:botcar:CatesbyHS232.117,CatesbyHS232,119,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_117_0540-corr
urn:cite:botcar:CatesbyHS232.118,CatesbyHS232,120,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_118_0534-corr
urn:cite:botcar:CatesbyHS232.119,CatesbyHS232,121,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_119_0538-corr
urn:cite:botcar:CatesbyHS232.120,CatesbyHS232,122,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.121,CatesbyHS232,123,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_121_0535-corr
urn:cite:botcar:CatesbyHS232.122,CatesbyHS232,124,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_122_0536-corr
urn:cite:botcar:CatesbyHS232.123,CatesbyHS232,125,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_123_0537-corr
urn:cite:botcar:CatesbyHS232.124,CatesbyHS232,126,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_124_0531-corr
urn:cite:botcar:CatesbyHS232.125,CatesbyHS232,127,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_125_0532-corr
urn:cite:botcar:CatesbyHS232.126,CatesbyHS232,128,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_126_0529-corr
urn:cite:botcar:CatesbyHS232.127,CatesbyHS232,129,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_127_0530-corr
urn:cite:botcar:CatesbyHS232.128,CatesbyHS232,130,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_128_0527-corr
urn:cite:botcar:CatesbyHS232.129,CatesbyHS232,131,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_129_0528-corr
urn:cite:botcar:CatesbyHS232.130,CatesbyHS232,132,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_130_0526-corr
urn:cite:botcar:CatesbyHS232.131,CatesbyHS232,133,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_131_0525-corr
urn:cite:botcar:CatesbyHS232.132,CatesbyHS232,134,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.133,CatesbyHS232,135,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_133_0524-corr
urn:cite:botcar:CatesbyHS232.134,CatesbyHS232,136,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_134_0520-corr
urn:cite:botcar:CatesbyHS232.135,CatesbyHS232,137,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_135_0521-corr
urn:cite:botcar:CatesbyHS232.136,CatesbyHS232,138,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_136_0522-corr
urn:cite:botcar:CatesbyHS232.137,CatesbyHS232,139,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_137_0519-corr
urn:cite:botcar:CatesbyHS232.138,CatesbyHS232,140,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_138_0517-corr
urn:cite:botcar:CatesbyHS232.139,CatesbyHS232,141,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_139_0518-corr
urn:cite:botcar:CatesbyHS232.sp,CatesbyHS232,142,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
